"paperID","Article.Title","DOI","Pub_Year","Source.Title","Authors","latitude_site_decimal","longitude_site_decimal","Open_access","Data_access","survey","tot_area","BIOME_NAME","ECO_NAME","biome_keep","area_keep","district_keep","cor.lat","cor.long","cor.country","dists","tot.auth","prop.India"
"A0012","Decadal forest dynamics in logged and unlogged sites at Uppangala, Western Ghats, India","https://doi.org/10.1007/s10661-022-10706-4",2023,"ENVIRONMENTAL MONITORING AND ASSESSMENT","Wilson, VK; Ayyappan, N; Parthasarathy, N",12.5,75.6,"n","unsure","plot-based or transects",0.06,"Tropical & Subtropical Moist Broadleaf Forests","South Western Ghats montane rain forests",1,1,1,11.9369401,79.8356517,"India",465.07,4,1
"A0026","Understanding Species Diversity, Phenology and Environmental Implications of Different Life Forms in Coniferous Forests: A Case Study from Bhallesa Hills of Pir Panjal Mountain, Western Himalaya, India","https://doi.org/10.3390/f13122050",2022,"FORESTS","Surmal, O; Singh, B; Musarella, CM",32.991,75.883,"y","n","plot-based or transects",0.25,"Temperate Broadleaf & Mixed Forests","Western Himalayan broadleaf forests",1,1,1,26.8562908,80.9498597,"India",839.55,5,0.8
"A0055","Vegetation dynamics and soil nutrient availability in a temperate forest along altitudinal gradient of Nanda Devi Biosphere Reserve, Western Himalaya, India","https://doi.org/10.1371/journal.pone.0275051",2022,"PLOS ONE","Maletha, A; Maikhuri, RK; Bargali, SS; Sharma, A; Negi, VS; Rawat, LS",30.5,79.6,"y","y","plot-based or transects",0.0146,"Montane Grasslands & Shrublands","Western Himalayan alpine shrub and meadows",1,1,1,29.6469625,-82.345477,"United States of America",13073.98,8,0.875
"A0074","Use of TanDEM-X PolInSAR for canopy height retrieval over tropical forests in the Western Ghats, India","https://doi.org/10.3389/ffgc.2022.836205 ",2022,"FRONTIERS IN FORESTS AND GLOBAL CHANGE","Raveendrakumar, S; Khati, U; Musthafa, M; Singh, G; Tebaldini, S",14.0529463,75.7053926,"y","n","plot-based or transects",0.10285168,"Tropical & Subtropical Moist Broadleaf Forests","North Western Ghats moist deciduous forests",1,1,1,19.1138266,72.893833,"India",638.2,5,0.8
"A0079","Biodiversity conservation and carbon storage of Acacia catechu willd. Dominated northern tropical dry deciduous forest ecosystems in north-western Himalaya: Implications of different forest management regimes","https://doi.org/10.3389/fenvs.2022.981608",2022,"FRONTIERS IN ENVIRONMENTAL SCIENCE","Kumar, D; Thakur, CL; Bhardwaj, DR; Sharma, N; Sharma, P; Sankhyan, N",32.35,76,"y","n","plot-based or transects",0.079985952,"Tropical & Subtropical Coniferous Forests","Himalayan subtropical pine forests",1,1,1,31.2194893,76.9815877,"India",156.41,6,1
"A0081","Sacred groves of Central India: Diversity status, carbon storage, and conservation strategies","https://doi.org/10.1111/btp.13157 ",2022,"BIOTROPICA","Dar, JA; Kothandaraman, S; Khare, PK; Khan, ML",22.0498358,78.9372215,"y","y","checklist",0.0012,"Tropical & Subtropical Moist Broadleaf Forests","East Deccan moist deciduous forests",1,1,1,23.8265828,78.7751302,"India",198.48,5,1
"A0082","Impact of forest fire frequency on tree biomass and carbon stocks in the tropical dry deciduous forest of Panna Tiger Reserve, Central India","https://doi.org/10.1007/s42965-022-00248-8",2022,"TROPICAL ECOLOGY","Ray, T; Malasiya, D; Verma, S; Kumar, T; Khan, ML",24.61666669,79.94166668,"y","n","plot-based or transects",0.1,"Tropical & Subtropical Dry Broadleaf Forests","Narmada Valley dry deciduous forests",1,1,1,23.8265828,78.7751302,"India",147.51,5,0.8
"A0083","Prediction of Forage Species for Megaherbivore (Elephas Maximus) in Coimbatore Elephant Reserve (CER) at The Foothills of Western Ghats, Tamil Nadu, India","http://dx.doi.org/10.15666/aeer/2101_117132",2023,"Applied Ecology and Environmental Research","M.,Packialakshmi; M.P, Divya; K., Baranidharan ",11.16,76.86,"y","n","plot-based or transects",0.0512,"Tropical & Subtropical Moist Broadleaf Forests","South Western Ghats moist deciduous forests",1,1,1,11.3027849,76.9383385,"India",18.05,3,1
"A0114","Impact of agriculture intensification on forest degradation and tree carbon stock; promoting multi-criteria optimization for restoration in Central India","https://doi.org/10.1002/ldr.4375",2022,"Land Degradation & Development",NA,21.29,74,"n","n","plot-based or transects",0.028,"Tropical & Subtropical Dry Broadleaf Forests","Narmada Valley dry deciduous forests",1,1,1,21.1308193,79.1182605,"India",531.44,5,1
"A0118","Foraging habitat selection of shrubland bird community in tropical dry forest","https://doi.org/10.1002/ece3.9192",2022,"ECOLOGY AND EVOLUTION","Deshwal, A; Stephenson, SL; Panwar, P; DeGregorio, BA; Kannan, R; Willson, JD",13.63,78.35,"y","y","plot-based or transects",0.0255639248204235,"Deserts & Xeric Shrublands","Deccan thorn scrub forests",1,1,1,40.696998,-89.6153069,"United States of America",13863.6,6,0.166666666666667
"A0133","The value of shifting cultivation for biodiversity in Northeast India","https://doi.org/10.1111/ddi.13605",2022,"DIVERSITY AND DISTRIBUTIONS","Borah, JR; Gilroy, JJ; Evans, KL; Edwards, DP",25.68806,94.57639,"y","unsure","plot-based or transects",0.0324,"Tropical & Subtropical Coniferous Forests","Northeast India-Myanmar pine forests",1,0,1,53.3817753,-1.4870614,"United Kingdom",8134.56,4,0
"A0140","Stand structure, biomass and carbon stock along disturbance gradients in differently managed tropical forests of Assam, northeast India","https://doi.org/10.1016/j.tfp.2022.100296",2022,"TREES FORESTS AND PEOPLE","Chaudhury, G; Darji, CB; Basumatari, M; Dutta, G; Devi, A; Bharadwaj, N",26.06,92.865,"y","y","plot-based or transects",6e-04,"Tropical & Subtropical Moist Broadleaf Forests","Meghalaya subtropical forests",1,1,1,26.1538664,91.6590261,"India",121,6,1
"A0141","Trunk picking from a truncating menu: Dry season forage selection by Asian elephant in a multi-use landscape","https://doi.org/10.1371/journal.pone.0271052",2022,"PLOS ONE","Das, P; Kshettry, A; Kumara, HN",26.85556,88.80306,"y","n","checklist",0.0635256423934146,"Tropical & Subtropical Grasslands, Savannas & Shrublands","Terai-Duar savanna and grasslands",1,1,1,11.0927309,76.7869297,"India",2159.81,3,1
"A0146","Pattern of beta-Diversity and Plant Species Richness along Vertical Gradient in Northwest Himalaya, India","https://doi.org/10.3390/biology11071064",2022,"BIOLOGY-BASEL","Wani, ZA; Khan, S; Bhat, JA; Malik, AH; Alyas, T; Pant, S; Siddiqui, S; Moustafa, M; Ahmad, AE",34.00027778,74.41694444,"y","n","plot-based or transects",0.0018,"Temperate Broadleaf & Mixed Forests","Western Himalayan broadleaf forests",1,1,1,24.7135517,46.6752957,"Saudi Arabia",2871.91,11,0.454545454545455
"A0153","The thermal niche and phylogenetic assembly of evergreen tree metacommunities in a mid-to-upper tropical montane zone","https://doi.org/10.1098/rspb.2022.0038 ",2022,"PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","Das, AA; Ratnam, J",11.2185718,76.5794167,"y","y","plot-based or transects",0.0348,"Tropical & Subtropical Moist Broadleaf Forests","South Western Ghats montane rain forests",1,1,1,12.9715987,77.5945627,"India",224.26,2,1
"A0156","Biomass and carbon recovery of secondary forest in a Montane Subtropical Forest of North Eastern India","https://doi.org/10.1007/s42965-022-00246-w",NA,"TROPICAL ECOLOGY","Sharma, SB; Kumar, S; Hegde, N",23.67,92.6,"y","n","plot-based or transects",0.0108,"Tropical & Subtropical Moist Broadleaf Forests","Mizoram-Manipur-Kachin rain forests",1,1,1,23.7364942,92.6642456,"India",9.88,3,1
"A0184","Assessment of vegetation, soil nutrient dynamics and heavy metals in the Prosopis juliflora invaded lands at semi-arid regions of Southern India","https://doi.org/10.1016/j.catena.2022.106374",2022,"CATENA","Mohanraj, R; Prasath, RVA; Rajasekaran, A",10.67,78.07,"unsure","unsure","plot-based or transects",NA,"Tropical & Subtropical Dry Broadleaf Forests","South Deccan Plateau dry deciduous forests",1,1,1,10.7778591,78.6966603,"India",69.58,3,1
"A0211","Carbon sequestration potential in natural forests of Himachal Pradesh, India","https://doi.org/10.18520/cs/v122/i7/846-849",2022,"CURRENT SCIENCE","Kumari, B; Tiwari, A; Anjum, J",31.4,76.66,"y","n","plot-based or transects",0.0024,"Tropical & Subtropical Coniferous Forests","Himalayan subtropical pine forests",1,1,1,26.2020003,78.1980647,"India",597.75,3,1
"A0218","Ecosystem Carbon Stock and Stable Isotopic Signatures of Soil Organic Carbon Sources Across the Mangrove Ecosystems of Kerala, Southern India","https://doi.org/10.1007/s13157-022-01540-y",2022,"WETLANDS","Sreelekshmi, S; Harikrishnan, M; Nandan, SB; Kaimal, VS; Hershey, NR",9.55,76.61,"n","n","unsure",0.006,"Tropical & Subtropical Moist Broadleaf Forests","Malabar Coast moist forests",1,1,1,9.966688,76.2870113,NA,58.37,0,NA
"A0226","Diversification and divergence of rainforest woody plants in South India and Madagascar relate to geomorphological history","https://doi.org/10.1111/jbi.14348",2022,"JOURNAL OF BIOGEOGRAPHY","Barthelemy, E; Ranaivosoa, RMO; Zoelinirina, NK; Munoz, F",14,75,"y","y","plot-based or transects",0.96,"Tropical & Subtropical Moist Broadleaf Forests","North Western Ghats montane rain forests",1,0,1,45.1915639,5.7672336,"France",7295.63,4,0.5
"A0228","Maling bamboo (Yushania maling) overdominance alters forest structure and composition in Khangchendzonga landscape, Eastern Himalaya","https://doi.org/10.1038/s41598-022-08483-8",2022,"SCIENTIFIC REPORTS","Gaira, KS; Pandey, A; Sinha, S; Badola, HK; Lepcha, J; Dhyani, PP; Chettri, N",27.03,88.03,"y","n","plot-based or transects",0.0069,"Temperate Broadleaf & Mixed Forests","Himalayan subtropical broadleaf forests",1,1,1,27.3516407,88.3239309,"India",46.14,8,0.875
"A0247","Role of anthropogenic drivers in altering the forest community structure in a prime tiger habitat in central India","https://doi.org/10.1139/cjfr-2021-0108",2022,"CANADIAN JOURNAL OF FOREST RESEARCH","Dasgupta, S; Bhattacharya, T; Bhamburkar, P; Kaul, R",21.15,80.26,"n","n","plot-based or transects",0.0732,"Tropical & Subtropical Dry Broadleaf Forests","Central Deccan Plateau dry deciduous forests",1,1,1,30.2834983,77.9735518,"India",1042.18,6,1
